코드번호,회사명,업종(대),업종(소),주가(원),시가총액(억),발표PER,발표PBR,시가배당률(%)
A225590,패션플랫폼,섬유 및 의류,의류,1960,522,3.63,0.91,0.0
A204020,그리티,섬유 및 의류,의류,2980,600,-13.33,0.9,0.0
A078860,아이오케이,IT서비스,소프트웨어,919,865,-2.5,0.56,0.0
A024810,이화전기,기계,전력기자재,1110,926,3.81,0.36,0.0
A060540,에스에이티,통신,통신장비,2920,763,7.48,0.79,1.71
A012620,원일특강,철강 및 비철강,제강,12850,565,3.04,0.4,1.95
A081580,성우전자,IT 장비 및 소재,스마트폰 부품,3480,540,6.92,0.5,1.44
A000850,화천기공,기계,공작기계,34800,766,6.23,0.25,2.87
A054930,유신,건설 및 건축자재,중견건설사,21950,659,4.51,0.67,3.42
A138070,신진에스엠,기계,기계,6270,563,9.38,0.76,1.91
A094970,제이엠티,디스플레이 장비 및 부품,디스플레이 부품,4125,691,3.95,0.86,3.64
A032580,피델릭스,반도체 관련장비 및 부품,반도체 제조,1750,580,9.51,1.34,0.0
A088790,진도,섬유 및 의류,의류,3495,435,9.46,0.42,1.14
A064480,브리지텍,IT서비스,컨택센터,5020,600,17.14,1.47,2.39
A039310,세중,레저산업,여행,3450,625,18.38,0.7,0.0
A014130,한익스프레스,운송 및 물류,육상운송,5850,702,21.94,0.95,0.0
A008370,원풍,화학,기타 화학,5500,660,10.65,0.79,3.09
A048830,엔피케이,화학,합성수지,2610,489,15.77,1.1,1.15
A080470,성창오토텍,자동차 및 관련부품,공조부품,8290,605,16.81,1.39,0.72
A067770,세진티에스,디스플레이 장비 및 부품,디스플레이 부품,4280,359,12.38,0.78,0.0
A072950,빛샘전자,통신,통신장비,8140,507,11.02,0.76,1.23
A010660,화천기계,기계,공작기계,3245,714,11.7,0.56,0.31
A049830,승일,종이 및 용기,용기 및 포장재,12550,770,20.26,0.53,1.35
A054410,케이피티유,기계,기계,6620,335,5.32,0.86,0.0
